token;value;tense;mood
посматривают;смотреть;present;
посмотрел;смотреть;past;
посмотрела;смотреть;past;
посмотрели;смотреть;past;
посмотрело;смотреть;past;
посмотреть;смотреть;present;
посмотрим;смотреть;future;
посмотрит;смотреть;future;
посмотрите;смотреть;future;
посмотришь;смотреть;future;
посмотрю;смотреть;future;
посмотрят;смотреть;future;
поступил;поступать ;past;
поступила;come;past;
поступили;come;past;
поступило;поступать;past;
посчитан;считать;past;
посчитана;считать;past;
посчитано;считать;past;
посчитаны;считать;past;
посылаем;send;present;
посылает;send;present;
посылаете;send;present;
посылаешь;send;present;
посылал;send;past;
посылала;send;past;
посылали;send;past;
посылало;send;past;
посылать;send;present;
посылаю;send;present;
посылают;send;present;
потеряем;терять;future;
потеряет;терять;future;
потеряете;терять;future;
потеряешь;терять;future;
потерял;терять;past;
потеряла;терять;past;
потерялась;терять;past;
потеряли;терять;past;
потеряло;терять;past;
потерялся;терять;past;
потерять;терять;present;
потеряю;терять;future;
потеряют;терять;future;
пошлём;send;future;
пошлёт;send;future;
пошлёте;send;future;
пошлёшь;send;future;
пошлите;send;future;
пошлю;send;future;
пошлют;send;future;
появилась;show;past;
появились;show;past;
появилось;show;past;
появился;show;past;
появимся;show;future;
появитесь;show;future;
появится;show;future;
появишься;show;future;
появлюсь;show;future;
появляемся;show;future;
появляетесь;show;future;
появляется;show;future;
появляешься;show;future;
появлялась;show;past;
появлялись;show;past;
появлялось;show;past;
появлялся;show;past;
появляться;show;present;
появляюсь;show;present;
появляются;show;present;
появятся;show;future;
предоставил;give;past;
предоставила;give;past;
предоставили;give;past;
предоставило;give;past;
предоставим;give;future;
предоставит;give;future;
предоставите;give;future;
предоставить;give;future;
предоставишь;give;future;
предоставлю;give;future;
предоставляем;give;present;
предоставляет;give;present;
предоставляете;give;present;
предоставляешь;give;present;
предоставлял;give;past;
предоставляла;give;past;
предоставляли;give;past;
предоставляло;give;past;
предоставлять;give;present;
предоставляю;give;present;
предоставляют;give;present;
предоставят;give;future;
прекратил;прекращать;past;
прекратила;прекращать;past;
прекратили;прекращать;past;
прекратило;прекращать;past;
прекратим;прекращать;future;
прекратит;прекращать;future;
прекратите;прекращать;future;
прекратить;прекращать;present;
прекратишь;прекращать;future;
прекратят;прекращать;future;
прекращаем;прекращать;present;
прекращает;прекращать;present;
прекращаете;прекращать;present;
прекращаешь;прекращать;present;
прекращал;прекращать;past;
прекращала;прекращать;past;
прекращали;прекращать;past;
прекращало;прекращать;past;
прекращать;прекращать;present;
прекращаю;прекращать;present;
прекращают;прекращать;present;
прекращу;прекращать;future;
прервалась;рваться;past;
прервались;рваться;past;
прервалось;рваться;past;
прервался;рваться;past;
прервёмся;рваться;future;
прервётесь;рваться;future;
прервётся;рваться;future;
прервёшься;рваться;future;
прервусь;рваться;future;
прервутся;рваться;future;
прерываемся;рваться;present;
прерываетесь;рваться;present;
прерывается;рваться;present;изъявительное
прерываешься;рваться;present;
прерывалась;рваться;past;
прерывались;рваться;past;
прерывалось;рваться;past;
прерывался;рваться;past;
прерываться;рваться;present;
прерываюсь;рваться;present;
прерываются;рваться;present;
придём;come;future;
придёт;come;future;
придёте;come;future;
придёшь;come;future;
приди;come;present;
придите;come;present;
придти;come;present;
приду;come;future;
придут;come;future;
придя;come;present;
прийдём;come;future;
прийдёт;come;future;
прийдёте;come;future;
прийдёшь;come;future;
прийди;come;present;
прийдите;come;present;
прийду;come;future;
прийдут;come;future;
прийдя;come;future;
прийти;come;present;
примем;принять;future;
примет;принять;future;
примете;принять;future;
примешь;принять;future;
примите;принять;future;
приму;принять;future;
примут;принять;future;
принимаем;принять;present;
принимает;принять;present;
принимаете;принять;present;
принимаешь;принять;present;
принимал;принять;past;
принимала;принять;past;
принимали;принять;past;
принимало;принять;past;
принимать;принять;present;
принимаю;принять;present;
принимают;принять;present;
принял;принять;past;
приняла;принять;past;
приняли;принять;past;
приняло;принять;past;
принять;принять;present;
приостанавливаем;приостановить;present;
приостанавливает;приостановить;present;
приостанавливаете;приостановить;present;
приостанавливаешь;приостановить;present;
приостанавливал;приостановить;past;
приостанавливала;приостановить;past;
приостанавливали;приостановить;past;
приостанавливало;приостановить;past;
приостанавливать;приостановить;present;
приостанавливаю;приостановить;present;
приостанавливают;приостановить;present;
приостановил;приостановить;past;
приостановила;приостановить;past;
приостановили;приостановить;past;
приостановило;приостановить;past;
приостановим;приостановить;future;
приостановит;приостановить;future;
приостановите;приостановить;future;
приостановить;приостановить;present;
приостановишь;приостановить;future;
приостановления;приостановить;present;
приостановлю;приостановить;future;
приостановят;приостановить;future;
прислал;присылать;past;
прислала;присылать;past;
прислали;присылать;past;
прислало;присылать;past;
присылаем;присылать;present;
присылает;присылать;present;
присылаете;присылать;present;
присылаешь;присылать;present;
присылал;присылать;past;
присылала;присылать;past;
присылали;присылать;past;
присылало;присылать;past;
присылать;присылать;past;
присылаю;присылать;present;
присылают;присылать;present;
приходил;come;past;
приходила;come;past;
приходили;come;past;
приходило;come;past;
приходим;come;present;
приходит;come;present;
приходите;come;present;
приходить;come;present;
приходишь;come;present;
приходят;come;present;
прихожу;come;present;
пришел;come;past;
пришёл;come;past;
пришла;come;past;
пришлём;присылать;future;
пришлёт;присылать;future;
пришлёте;присылать;future;
пришлёшь;присылать;future;
пришли;come;past;
пришлите;присылать;future;
пришло;come;past;
пришлю;присылать;future;
пришлют;присылать;future;
пробраcывать;forward;present;
пробрасываем;forward;present;
пробрасывает;forward;present;
пробрасываете;forward;present;
пробрасываешь;forward;present;
пробрасывал;forward;past;
пробрасывала;forward;past;
пробрасывали;forward;past;
пробрасывало;forward;past;
пробрасывать;forward;past;
пробрасываю;forward;present;
пробрасывают;forward;present;
пробрашивать;forward;present;
проброcить;forward;present;
проброс;forward;present;
пробросил;forward;past;
пробросила;forward;past;
пробросили;forward;past;
пробросило;forward;past;
пробросим;forward;future;
пробросит;forward;future;
пробросите;forward;future;
пробросишь;forward;future;
пробросьте;forward;future;
пробросят;forward;future;
проброшу;forward;future;
продлить;продлить;present;
произвести;произвести;present;
проконсультировал;консультировать;past;
проконсультировала;консультировать;past;
проконсультироваться;консультировать;present;
проконсультировали;консультировать;past;
проконсультировало;консультировать;past;
проконсультировать;консультировать;present;
проконсультируем;консультировать;future;
проконсультирует;консультировать;future;
проконсультируете;консультировать;future;
проконсультируешь;консультировать;future;
проконсультируйте;консультировать;future;
проконсультирую;консультировать;future;
проконсультируют;консультировать;future;
пропадаем;пропадать;future;
пропадает;пропадать;future;изъявительное
пропадаете;пропадать;future;
пропадаешь;пропадать;future;
пропадал;пропадать;past;
пропадала;пропадать;past;
пропадали;пропадать;past;
пропадало;пропадать;past;
пропадать;пропадать;present;
пропадаю;пропадать;present;
пропадают;пропадать;present;
пропадём;пропадать;future;
пропадёт;пропадать;future;
пропадёте;пропадать;future;
пропадёшь;пропадать;future;
пропаду;пропадать;future;
пропадут;пропадать;future;
пропал;пропадать;past;
пропала;пропадать;past;
пропали;пропадать;past;
пропало;пропадать;past;
прописать;писать;present;
работаем;work;present;
работает;work;present;
работаете;work;present;
работаешь;work;present;
работал;work;past;
работала;work;past;
работали;work;past;
работало;work;past;
работать;work;present;
работаю;work;present;
работают;work;present;
разорвал;рваться;past;
разорвала;рваться;past;
разорвали;рваться;past;
разорвало;рваться;past;
разорвать;разорвать;present;
разорвём;разорвать;future;
разорвёт;разорвать;future;
разорвёте;разорвать;future;
разорвёшь;разорвать;future;
разорву;разорвать;future;
разорвут;разорвать;future;
разрываем;разорвать;present;
разрывает;разорвать;present;
разрываете;разорвать;present;
разрывается;разорвать;present;изъявительное
разрываешь;разорвать;present;
разрывал;разорвать;past;
разрывала;разорвать;past;
разрывали;разорвать;past;
разрывало;разорвать;past;
разрывам;разорвать;present;
разрывами;разорвать;present;
разрывать;разорвать;present;
разрываться;разорвать;present;
разрывах;разорвать;present;
разрываю;разорвать;present;
разрывают;разорвать;present;
разрыве;разорвать;present;
разрывов;разорвать;present;
расскажем;сказать;future;
расскажет;сказать;future;
расскажете;сказать;future;
расскажешь;сказать;future;
расскажите;рассказывать;present;
расскажу;сказать;future;
расскажут;сказать;future;
рассказал;сказать;past;
рассказала;сказать;past;
рассказали;сказать;past;
рассказало;сказать;past;
рассказываем;сказать;present;
рассказывает;сказать;present;
рассказываете;сказать;present;
рассказываешь;сказать;present;
рассказывал;сказать;past;
рассказывала;сказать;past;
рассказывали;сказать;past;
рассказывало;сказать;past;
рассказывать;сказать;present;
рассказываю;сказать;present;
рассказывают;сказать;present;
растём;расти;present;
растёт;расти;present;
растёте;расти;present;
растёшь;расти;present;
расти;расти;present;
растил;расти;past;
растила;расти;past;
растили;расти;past;
растило;расти;past;
растим;расти;present;
растит;расти;present;
растите;расти;present;
растить;расти;present;
растишь;расти;present;
расторгать;расторгать;present;
расторгнув;расторгать;na;
расторгнуть;расторгать;present;
расту;расти;present;
растут;расти;present;
растят;расти;present;
ращу;расти;present;
рвалась;рваться;past;
рвались;рваться;past;
рвалось;рваться;past;
рвался;рваться;past;
рваться;рваться;present;
рвется;рваться;present;изъявительное
рвёмся;рваться;present;
рвётесь;рваться;present;
рвётся;рваться;present;изъявительное
рвёшься;рваться;present;
рвусь;рваться;present;
рвутся;рваться;present;
регистрировал;регистрировать;past;
регистрировала;регистрировать;past;
регистрировали;регистрировать;past;
регистрировало;регистрировать;past;
регистрировать;регистрировать;present;
регистрируем;регистрировать;future;
регистрирует;регистрировать;future;
регистрируете;регистрировать;future;
регистрируешь;регистрировать;future;
регистрирую;регистрировать;future;
регистрируют;регистрировать;future;
регулировал;регулировать;past;
регулировала;регулировать;past;
регулировали;регулировать;past;
регулировало;регулировать;past;
регулировать;регулировать;present;
регулируем;регулировать;present;
регулирует;регулировать;present;
регулируете;регулировать;present;
регулируешь;регулировать;present;
регулирую;регулировать;present;
регулируют;регулировать;present;
решить;решать;present;
рос;расти;past;
росла;расти;past;
росли;расти;past;
росло;расти;past;
сдавал;сдать;past;
сдавала;сдать;past;
сдавали;сдать;past;
сдавало;сдать;past;
сдавать;сдать;present;
сдадим;сдать;future;
сдадите;сдать;future;
сдадут;сдать;future;
сдаём;сдать;present;
сдаёт;сдать;present;
сдаёте;сдать;present;
сдаёшь;сдать;present;
сдал;сдать;past;
сдала;сдать;past;
сдали;сдать;past;
сдало;сдать;past;
сдам;сдать;future;
сдаст;сдать;future;
сдать;сдать;present;
сдашь;сдать;future;
сдаю;сдать;present;
сдают;сдать;present;
скажем;сказать;future;
скажет;сказать;future;
скажете;сказать;future;
скажешь;сказать;future;
скажите;сказать;future;
скажу;сказать;future;
скажут;сказать;future;
сказал;сказать;past;
сказала;сказать;past;
сказали;сказать;past;
сказало;сказать;past;
сказать;сказать;present;
сказываем;сказать;present;
сказывает;сказать;present;
сказываете;сказать;present;
сказываешь;сказать;present;
сказывал;сказать;past;
сказывала;сказать;past;
сказывали;сказать;past;
сказывало;сказать;past;
сказывать;сказать;present;
сказываю;сказать;present;
сказывают;сказать;present;
слышал;слышать;past;
слышала;слышать;past;
слышали;слышать;past;
слышало;слышать;past;
слышат;слышать;present;
слышать;слышать;present;
слышим;слышать;present;
слышит;слышать;present;
слышите;слышать;present;
слышишь;слышать;present;
слышу;слышать;present;
сменил;менять;past;
сменила;менять;past;
сменили;менять;past;
сменило;менять;past;
сменим;менять;future;
сменит;менять;future;
смените;менять;future;
сменить;менять;present;
сменишь;менять;future;
сменю;менять;future;
сменяем;менять;present;
сменяет;менять;present;
сменяете;менять;present;
сменяешь;менять;present;
сменял;менять;past;
сменяла;менять;past;
сменяли;менять;past;
сменяло;менять;past;
сменят;менять;future;
сменять;менять;present;
сменяю;менять;present;
сменяют;менять;present;
смотреть;смотреть;present;
снимаем;снимать;present;
снимает;снимать;present;
снимаете;снимать;present;
снимаешь;снимать;present;
снимал;снимать;past;
снимала;снимать;past;
снимали;снимать;past;
снимало;снимать;past;
снимать;снимать;present;
снимаю;снимать;present;
снимают;снимать;present;
снимем;снимать;future;
снимет;снимать;future;
снимете;снимать;future;
снимешь;снимать;future;
сниму;снимать;future;
снимут;снимать;future;
снял;снимать;past;
сняла;снимать;past;
сняли;снимать;past;
снялись;снимать;past;
сняло;снимать;past;
совпадает;match;present;
совпадать;match;present;
совпадают;match;present;
совпал;match;past;
совпали;match;past;
создать;создавать;present;
сообщает;answer;present;
сообщил;answer;past;
сообщило;answer;past;
сообщите;сказать;future;
составляет;составлять;present;
состоим;входить;present;
состоит;входить;present;
состоите;входить;present;
состоишь;входить;present;
состою;входить;present;
состоял;входить;past;
состояла;входить;past;
состояли;входить;past;
состояло;входить;past;
состоят;входить;present;
состоять;входить;present;
списал;списать;past;
списала;списать;past;
списали;списать;past;
списались;списать;past;
списало;списать;past;
списываем;списать;present;
списывает;списать;present;
списываете;списать;present;
списываешь;списать;present;
списывал;списать;past;
списывала;списать;past;
списывали;списать;past;
списывало;списать;past;
списывать;списать;present;
списываю;списать;present;
списывают;списать;present;
списываются;писать;present;perfect
спишем;списать;future;
спишет;списать;future;
спишете;списать;future;
спишешь;списать;future;
спишу;списать;future;
спишут;списать;future;
стоил;стоить;past;
стоила;стоить;past;
стоили;стоить;past;
стоило;стоить;past;
стоим;стоить;present;
стоит;стоить;present;
стоите;стоить;present;
стоить;стоить;present;
стоишь;стоить;present;
стою;стоить;present;
стоят;стоить;present;
теряем;терять;present;
теряет;терять;present;
теряете;терять;present;
теряется;терять;present;
теряешь;терять;present;
терял;терять;past;
теряла;терять;past;
теряли;терять;past;
теряло;терять;past;
терялось;терять;past;
терять;терять;present;
теряться;терять;present;
теряю;терять;present;
теряют;терять;present;
убрать;убирать;present;
увеличат;увеличивать;future;
увеличиваем;увеличивать;present;
увеличивает;увеличивать;present;
увеличиваете;увеличивать;present;
увеличиваешь;увеличивать;present;
увеличивал;увеличивать;past;
увеличивала;увеличивать;past;
увеличивали;увеличивать;past;
увеличивало;увеличивать;past;
увеличивать;увеличивать;present;
увеличиваю;увеличивать;present;
увеличивают;увеличивать;present;
увеличил;увеличивать;past;
увеличила;увеличивать;past;
увеличилась;увеличивать;past;
увеличили;увеличивать;past;
увеличило;увеличивать;past;
увеличился;увеличивать;past;
увеличим;увеличивать;future;
увеличит;увеличивать;future;
увеличите;увеличивать;future;
увеличить;увеличивать;present;
увеличишь;увеличивать;future;
увеличу;повышать;future;
увеличьте;увеличивать;future;
уедем;уезжать;future;
уедет;уезжать;future;
уедете;уезжать;future;
уедешь;уезжать;future;
уеду;уезжать;future;
уедут;уезжать;future;
уезжаем;уезжать;present;
уезжает;уезжать;present;
уезжаете;уезжать;present;
уезжаешь;уезжать;present;
уезжал;уезжать;past;
уезжала;уезжать;past;
уезжали;уезжать;past;
уезжало;уезжать;past;
уезжать;уезжать;present;
уезжаю;уезжать;present;
уезжают;уезжать;present;
уехал;уезжать;past;
уехала;уезжать;past;
уехали;уезжать;past;
уехало;уезжать;past;
уехать;уезжать;present;
узнать;узнавать;present;
уйдём;идти;future;
уйдёт;идти;future;
уйдёте;идти;future;
уйдёшь;идти;future;
уйду;идти;future;
уйдут;идти;future;
указал;указать;past;
указала;указать;past;
указали;указать;past;
улучшаем;улучшать;present;
улучшает;улучшать;present;
улучшаете;улучшать;present;
улучшаешь;улучшать;present;
улучшал;улучшать;past;
улучшала;улучшать;past;
улучшали;улучшать;past;
улучшало;улучшать;past;
улучшат;улучшать;future;
улучшать;улучшать;present;
улучшаю;улучшать;present;
улучшают;улучшать;present;
улучшил;улучшать;past;
улучшила;улучшать;past;
улучшили;улучшать;past;
улучшило;улучшать;past;
улучшим;улучшать;future;
улучшит;улучшать;future;
улучшите;улучшать;future;
улучшить;улучшать;present;
улучшишь;улучшать;future;
улучшу;улучшать;future;
уменьшить;уменьшать;present;
упала;падать;past;
управил;control;past;
управила;control;past;
управили;control;past;
управило;control;past;
управим;control;future;
управит;control;future;
управите;control;future;
управишь;control;future;
управлю;control;future;
управляем;control;present;
управляет;control;present;
управляете;control;present;
управляешь;control;present;
управлял;control;past;
управляла;control;past;
управляли;control;past;
управляло;control;past;
управлять;control;present;
управляю;control;present;
управляют;control;present;
управят;control;future;
услал;send;past;
услала;send;past;
услали;send;past;
услало;send;past;
устанавливаемся;connect;present;
устанавливаетесь;connect;present;
устанавливается;connect;present;
устанавливаешься;connect;present;
устанавливалась;connect;past;
устанавливались;connect;past;
устанавливалось;connect;past;
устанавливался;connect;past;
устанавливаться;connect;present;
устанавливаюсь;connect;present;
устанавливаются;connect;present;
установилась;connect;past;
установились;connect;past;
установилось;connect;past;
установился;connect;past;
установимся;connect;future;
установитесь;connect;future;
установится;connect;future;
установишься;connect;future;
установлюсь;connect;future;
установятся;connect;future;
усылаем;send;present;
усылает;send;present;
усылаете;send;present;
усылаешь;send;present;
усылал;send;past;
усылала;send;past;
усылали;send;past;
усылало;send;past;
усылать;send;present;
усылаю;send;present;
усылают;send;present;
уточнить;уточнить;present;
уходил;send;past;
уходила;send;past;
уходили;send;past;
уходило;send;past;
уходим;send;present;
уходит;send;present;
уходите;send;present;
уходить;send;present;
уходишь;send;present;
уходят;send;present;
ухожу;send;present;
ушёл;send;past;
ушла;send;past;
ушлём;send;future;
ушлёт;send;future;
ушлёте;send;future;
ушлёшь;send;future;
ушли;send;past;
ушло;send;past;
ушлю;send;future;
ушлют;send;future;
хватает;хватать;present;
хотел;хотеть;past;
хотела;хотеть;past;
хотели;хотеть;past;
хотеть;хотеть;present;
хотим;хотеть;present;
хочу;хотеть;present;
обманем;обманывать;future;
обманет;обманывать;future;
обманете;обманывать;future;
обманешь;обманывать;future;
обману;обманывать;future;
обманул;обманывать;past;
обманула;обманывать;past;
обманули;обманывать;past;
обмануло;обманывать;past;
обманут;обманывать;future;
обмануть;обманывать;future;
обманываем;обманывать;present;
обманывает;обманывать;present;
обманываете;обманывать;present;
обманываешь;обманывать;present;
обманывал;обманывать;past;
обманывала;обманывать;past;
обманывали;обманывать;past;
обманывало;обманывать;past;
обманывать;обманывать;present;
обманываю;обманывать;present;
обманывают;обманывать;present;
переговорил;переговорить;past;
переговорила;переговорить;past;
переговорили;переговорить;past;
переговорило;переговорить;past;
переговорим;переговорить;future;
переговорит;переговорить;future;
переговорите;переговорить;future;
переговорить;переговорить;future;
переговоришь;переговорить;future;
переговорю;переговорить;future;
переговорят;переговорить;future;
соединил;соединять;past;
соединила;соединять;past;
соединили;соединять;past;
соединило;соединять;past;
соединим;соединять;future;
соединит;соединять;future;
соедините;соединять;future;
соединить;соединять;future;
соединишь;соединять;future;
соединю;соединять;future;
соединяем;соединять;present;
соединяет;соединять;present;
соединяете;соединять;present;
соединяешь;соединять;present;
соединял;соединять;past;
соединяла;соединять;past;
соединяли;соединять;past;
соединяло;соединять;past;
соединят;соединять;future;
соединять;соединять;present;
соединяю;соединять;present;
соединяют;соединять;present;
